,date,ft
1134,2020-02-12,79
1333,2020-02-12,79
1339,2020-02-18,81
199,2020-02-18,80
554,2020-02-18,80
1184,2020-02-18,80
931,2020-02-19,81
1078,2020-02-21,84
1126,2020-02-24,83
662,2020-02-26,82
756,2020-02-28,82
874,2020-02-28,85
1205,2020-02-28,85
131,2020-02-28,82
1032,2020-03-03,83
121,2020-03-03,85
1337,2020-03-03,86
657,2020-03-04,84
789,2020-03-06,83
606,2020-03-10,85
702,2020-03-12,77
301,2020-03-12,73
1264,2020-03-12,73
60,2020-03-12,81
109,2020-03-12,77
1076,2020-03-12,81
242,2020-03-17,86
241,2020-03-25,86
1127,2020-03-25,86
1113,2020-03-26,86
497,2020-03-27,85
501,2020-03-27,84
479,2020-04-08,86
355,2020-04-08,86
609,2020-04-09,85
892,2020-04-13,84
198,2020-04-13,84
1080,2020-04-14,84
243,2020-04-16,81
652,2020-04-16,77
1115,2020-04-16,86
1141,2020-04-16,86
304,2020-04-16,77
1178,2020-04-16,81
909,2020-04-21,84
1284,2020-04-23,99
658,2020-04-27,86
953,2020-04-29,86
1122,2020-05-05,84
1326,2020-05-05,84
429,2020-05-06,73
990,2020-05-06,73
1351,2020-05-08,86
58,2020-05-08,84
446,2020-05-19,84
1000,2020-05-20,77
1361,2020-05-20,81
1167,2020-05-20,77
374,2020-05-20,86
493,2020-05-20,86
828,2020-05-20,81
710,2020-05-26,89
329,2020-05-27,84
1087,2020-05-27,84
1322,2020-06-01,87
1056,2020-06-04,88
860,2020-06-04,84
1222,2020-06-04,84
208,2020-06-04,84
693,2020-06-08,93
610,2020-06-08,83
1040,2020-06-09,86
988,2020-06-10,91
91,2020-06-12,84
1302,2020-06-17,81
194,2020-06-17,77
786,2020-06-17,77
78,2020-06-17,86
1304,2020-06-17,81
539,2020-06-17,86
834,2020-06-25,77
222,2020-06-25,81
361,2020-06-25,87
849,2020-06-25,86
743,2020-06-26,81
1082,2020-06-26,81
422,2020-06-26,86
938,2020-06-26,86
929,2020-06-26,77
525,2020-06-26,77
1209,2020-06-30,93
1165,2020-06-30,87
801,2020-07-01,87
943,2020-07-01,88
817,2020-07-02,87
915,2020-07-07,89
795,2020-07-09,100
823,2020-07-09,89
398,2020-07-09,89
50,2020-07-14,92
1014,2020-07-15,77
399,2020-07-15,77
600,2020-07-15,81
1081,2020-07-15,86
1058,2020-07-15,81
53,2020-07-15,86
1343,2020-07-17,93
1358,2020-07-17,99
675,2020-07-21,93
1073,2020-07-29,94
1194,2020-08-04,94
1217,2020-08-12,86
1275,2020-08-12,81
127,2020-08-12,81
395,2020-08-12,86
8,2020-08-13,81
344,2020-08-13,77
952,2020-08-13,86
257,2020-08-13,86
1061,2020-08-13,86
393,2020-08-13,77
854,2020-08-13,81
2,2020-08-13,81
1,2020-08-21,94
405,2020-08-24,94
894,2020-08-26,94
323,2020-08-26,94
488,2020-09-02,95
1237,2020-09-02,77
843,2020-09-02,77
97,2020-09-04,93
509,2020-09-04,93
583,2020-09-06,93
1335,2020-09-09,94
1348,2020-09-09,99
269,2020-09-09,94
432,2020-09-15,92
624,2020-09-16,94
589,2020-09-16,86
1119,2020-09-16,81
1187,2020-09-16,94
617,2020-09-16,86
137,2020-09-16,81
800,2020-09-22,92
498,2020-09-26,93
888,2020-09-30,92
531,2020-10-02,92
950,2020-10-08,99
961,2020-10-11,97
1116,2020-10-13,92
213,2020-10-13,92
803,2020-10-13,97
812,2020-10-14,92
852,2020-10-14,94
912,2020-10-14,94
400,2020-10-15,92
1309,2020-10-15,81
996,2020-10-15,86
177,2020-10-15,86
853,2020-10-15,81
100,2020-10-16,98
262,2020-10-20,92
1106,2020-10-21,100
335,2020-10-21,93
1186,2020-10-22,96
625,2020-10-28,96
837,2020-10-28,93
704,2020-10-29,94
521,2020-11-02,92
4,2020-11-02,101
1153,2020-11-03,96
71,2020-11-03,93
1150,2020-11-03,93
165,2020-11-04,92
1096,2020-11-04,99
842,2020-11-04,102
86,2020-11-05,93
792,2020-11-06,96
41,2020-11-06,97
970,2020-11-06,105
342,2020-11-06,95
615,2020-11-08,101
124,2020-11-10,99
245,2020-11-10,97
308,2020-11-11,97
286,2020-11-11,86
596,2020-11-11,94
110,2020-11-11,81
298,2020-11-11,94
106,2020-11-11,81
1296,2020-11-11,96
776,2020-11-12,86
490,2020-11-12,97
1246,2020-11-12,86
1003,2020-11-12,86
1100,2020-11-13,103
82,2020-11-13,104
968,2020-11-13,98
193,2020-11-15,104
1195,2020-11-18,104
774,2020-11-18,99
424,2020-11-26,101
485,2020-12-01,104
1144,2020-12-01,104
898,2020-12-07,105
254,2020-12-08,104
746,2020-12-08,104
1071,2020-12-09,81
18,2020-12-09,81
143,2020-12-09,94
1057,2020-12-09,86
740,2020-12-09,81
1362,2020-12-09,102
1356,2020-12-09,86
760,2020-12-09,94
811,2020-12-09,97
481,2020-12-10,104
579,2020-12-10,94
997,2020-12-10,86
1312,2020-12-15,100
1029,2020-12-18,104
1243,2020-12-18,81
1212,2020-12-18,94
1175,2020-12-18,104
158,2020-12-18,86
296,2020-12-18,81
1052,2020-12-18,86
714,2020-12-18,94
1086,2020-12-28,105
1001,2020-12-30,98
998,2021-01-13,94
946,2021-01-13,81
905,2021-01-13,96
713,2021-01-13,86
1053,2021-01-13,100
785,2021-01-13,104
327,2021-01-13,81
742,2021-01-13,104
166,2021-01-13,96
264,2021-01-13,86
44,2021-01-13,94
1047,2021-01-18,111
1139,2021-01-20,98
832,2021-01-20,100
138,2021-01-26,97
904,2021-01-26,99
358,2021-01-28,97
1063,2021-02-01,97
1231,2021-02-02,98
51,2021-02-04,98
492,2021-02-04,107
325,2021-02-08,98
1219,2021-02-09,98
768,2021-02-10,99
1039,2021-02-16,96
389,2021-02-17,94
1307,2021-02-17,104
1353,2021-02-17,97
535,2021-02-17,86
674,2021-02-17,86
316,2021-02-17,104
992,2021-02-17,105
797,2021-02-17,94
826,2021-02-18,104
1242,2021-02-18,99
517,2021-02-18,104
541,2021-02-20,106
890,2021-02-22,109
1325,2021-02-23,96
709,2021-02-23,106
572,2021-03-01,96
1276,2021-03-02,97
423,2021-03-02,97
211,2021-03-02,106
723,2021-03-02,97
977,2021-03-02,97
403,2021-03-03,104
367,2021-03-03,104
268,2021-03-03,98
484,2021-03-04,99
815,2021-03-04,103
454,2021-03-05,103
1075,2021-03-05,105
814,2021-03-06,103
703,2021-03-08,105
1366,2021-03-08,103
145,2021-03-08,106
168,2021-03-09,106
1355,2021-03-09,108
218,2021-03-09,110
991,2021-03-09,107
320,2021-03-10,109
751,2021-03-10,107
769,2021-03-11,110
582,2021-03-11,107
472,2021-03-16,110
588,2021-03-17,110
896,2021-03-18,86
176,2021-03-18,104
59,2021-03-18,94
154,2021-03-18,94
17,2021-03-18,104
846,2021-03-18,86
984,2021-03-26,110
1301,2021-03-26,110
753,2021-04-01,106
901,2021-04-08,110
1028,2021-04-08,110
330,2021-04-09,108
3,2021-04-12,110
246,2021-04-13,110
24,2021-04-15,86
1233,2021-04-15,86
727,2021-04-15,104
1313,2021-04-15,104
1323,2021-04-15,94
878,2021-04-15,94
476,2021-04-19,110
511,2021-04-20,105
136,2021-04-20,110
152,2021-04-21,110
12,2021-04-22,109
1308,2021-04-25,108
726,2021-04-26,108
226,2021-04-26,110
700,2021-04-27,107
949,2021-04-28,108
47,2021-04-28,107
1235,2021-04-28,109
307,2021-04-28,107
248,2021-04-29,110
671,2021-04-30,107
770,2021-05-03,106
683,2021-05-04,114
56,2021-05-05,106
650,2021-05-07,104
